timestamp,action,trader,portfolio,coin,direction,baseId,entrySize,leverage,hlSize,reason,detail
2026-08-17T14:14:00.151Z,baseline,,,,,,,,,ignored 1 already-open Invo positions,895a5d66-8591-4d8b-b2d8-9ab728af3ea2
2026-08-17T14:14:00.158Z,alert,,,,,,,,,New Invo portfolio not in copy-config.json — not copying: crypto_rocket / Casino,
2026-08-17T14:14:00.160Z,alert,,,,,,,,,New Invo portfolio not in copy-config.json — not copying: crypto_rocket / Swings,
2026-08-17T14:14:00.164Z,alert,,,,,,,,,New Invo portfolio not in copy-config.json — not copying: archiduc / 100$ - 1000$ (Done!),
2026-08-17T14:14:00.165Z,alert,,,,,,,,,New Invo portfolio not in copy-config.json — not copying: archiduc / Moon mission,
2026-08-17T14:17:45.593Z,shutdown,,,,,,,,,"closed managed copies, remaining open=0",
2026-08-17T14:41:55.452Z,alert,,,,,,,,,Fetcher snapshot is over 60s old and no fetcher lock — is fetch-live-opens --watch running?,
2026-08-17T15:09:28.008Z,shutdown,,,,,,,,,"closed managed copies, remaining open=0",
2026-08-17T15:21:23.153Z,open,archiduc,Scalp Company,BTC,short,f7a9e8c8-4e2e-45ef-99ec-b64f6352204f,1,27,0.00016,,oid=57969299400 notional=$10.18 pct=$9.99 fallbackMin=$10
2026-08-17T15:39:44.576Z,open,crypto_rocket,Main,BTC,short,0129859f-b335-41c0-96dc-a8e3df8dc2ca,2,32,0.00031,,oid=57969882295 notional=$19.68 pct=$19.97
2026-08-17T17:07:32.760Z,open,archiduc,Scalp Company,ETH,short,826f57ef-861a-41c9-9607-7c35ed17db31,0.9999957632411267,19,0.0053,,oid=57972738043 notional=$10.11 pct=$9.99 fallbackMin=$10
2026-08-17T18:15:53.645Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:15:53.854Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:15:54.039Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:15:55.001Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:15:56.132Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:15:57.019Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:15:58.026Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:15:59.153Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:00.044Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:01.048Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:02.056Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:03.206Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:04.106Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:05.227Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:06.240Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:07.095Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:08.093Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:09.106Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:10.250Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:11.124Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:11.723Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:11.931Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:12.137Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:13.155Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:14.160Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:15.309Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:16.322Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:17.220Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:18.211Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:19.207Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:20.225Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:21.234Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:22.237Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:23.248Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:24.261Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:25.268Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:26.411Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:27.317Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:28.307Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:29.448Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:30.173Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:30.383Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:31.367Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:32.500Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:33.372Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:34.517Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:35.381Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:36.385Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:37.394Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:38.411Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:39.423Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:40.575Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:41.448Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:42.458Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:43.464Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:44.477Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:45.476Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:46.630Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:16:47.531Z,alert,,,,,,,,,"copy tick failed: Unexpected token '<', ""<html>
<h""... is not valid JSON",
2026-08-17T18:23:37.520Z,resize,crypto_rocket,Main,BTC,short,0129859f-b335-41c0-96dc-a8e3df8dc2ca,3.745100008473965,,0.00058,,delta=+0.00027
2026-08-17T18:34:43.991Z,open,crypto_rocket,Main,POL,short,b0aded44-1a32-47c3-9b61-1e971f13bd39,1.000210977708605,3,123,,oid=57975467664 notional=$10.04 pct=$9.98 fallbackMin=$10
2026-08-17T18:39:02.227Z,alert,,,,,,,,,SKIP crypto_rocket/Main CASHCAT short 76f9fd6c-200d-4f39-93e0-f000f24501b6: HL order failed: Order could not immediately match against any resting orders. asset=209,
