trader,portfolio,coin,direction,leverage,entryPrice,currentPrice,entrySize,positionSize,liquidationPrice,priceTarget,stopLoss,baseShortId,baseId,updatedAt,closingPrice,closedAt,fetchedAt
archiduc,Scalp Company,ETH,short,19,1902.4,1894.6,1,0.0107633016,1963.2610939112487,,,Zmmv5J6WnO,3b6bd237-34e5-443a-9953-38ceed51531a,2026-08-17T07:17:32.074Z,1894.6,2026-08-17T08:09:47.684Z,2026-08-17T08:09:47.684Z
archiduc,Scalp Company,BTC,long,27,63601,63792,1,0.0108020776,62020.665729020155,63810,,kPLOxlJdGY,895a5d66-8591-4d8b-b2d8-9ab728af3ea2,2026-08-17T12:23:42.357Z,63792,2026-08-17T14:52:39.814Z,2026-08-17T14:52:39.814Z
archiduc,Scalp Company,ETH,short,19,1905.15,1898.4,0.9999957632411267,0.0106577983,1965.94427244582,1898,,k6zjgv4MXS,826f57ef-861a-41c9-9607-7c35ed17db31,2026-08-17T20:30:12.967Z,1898.4,2026-08-18T02:26:08.911Z,2026-08-18T02:26:08.911Z
archiduc,Scalp Company,HEMI,short,3,0.007375,0.007117,0.999993773757685,0.0110360823,0.008447999999999999,,,FYQpNMnTpr,25643f98-38dc-47a8-8c6b-62feb4a487ad,2026-08-18T08:42:51.597Z,0.007117,2026-08-18T08:46:35.869Z,2026-08-18T08:46:35.869Z
archiduc,Scalp Company,ARB,short,9,0.07568,0.07506,0.9999700557023032,0.0107271791,0.08010582010582011,0.0747,,Krp66yqGsV,301618b8-0769-4abf-8c74-485a42849099,2026-08-18T09:17:35.048Z,0.07506,2026-08-18T10:41:29.846Z,2026-08-18T10:41:29.846Z
archiduc,Scalp Company,VINE,short,3,0.006705,0.006543,1,0.0107115722,0.0076799999999999985,,,EpPl6wnJjT,e01af821-c10a-499c-8322-0f6a4001c5b4,2026-08-18T16:26:38.513Z,0.006543,2026-08-18T16:27:54.515Z,2026-08-18T16:27:54.515Z
archiduc,Scalp Company,BTC,short,27,64588.626672811086,64292,1.0000000000000002,0.0111730314,66230.96889106945,64287,,m8bmiCBAMA,f7a9e8c8-4e2e-45ef-99ec-b64f6352204f,2026-08-18T20:04:34.724Z,64292,2026-08-19T03:06:17.120Z,2026-08-19T03:06:17.120Z
archiduc,Scalp Company,NEAR,long,9,1.61395,1.6204,1.00004744175502,0.0103220986,1.510081871345029,1.632,,hPOvYsK6Og,9d4f56a1-fc88-4d58-a781-a44aa76ec665,2026-08-18T18:23:49.632Z,1.6204,2026-08-19T07:01:17.250Z,2026-08-19T07:01:17.250Z
archiduc,Scalp Company,BTC,long,27,64216,64361,0.9999838958593582,0.0106021967,62634.036568213785,64399,,Wy8zwZbnSk,1533b9fd-ba62-4e8c-b79c-99c12d68a807,2026-08-19T07:30:10.582Z,64361,2026-08-19T07:42:25.437Z,2026-08-19T07:42:25.437Z
archiduc,Scalp Company,NEAR,short,9,1.6142,1.601,1,0.0107280805,1.7082539682539684,,,s4yiyAYIBM,56a10d57-c500-4570-90f9-0f03466baeae,2026-08-19T07:09:33.084Z,1.601,2026-08-19T10:06:22.204Z,2026-08-19T10:06:22.204Z
archiduc,Scalp Company,BTC,short,27,66019.60252984992,66944,10.065502967434215,0.0862735482,67827.82740727448,,67067,EyNMedrqQR,1e6f311a-cc2f-488e-aa5e-52aefc33a1d7,2026-08-19T15:16:07.089Z,66944,2026-08-19T15:24:32.809Z,2026-08-19T15:24:32.809Z
archiduc,Scalp Company,SOL,short,15,79.43932389960301,81.196,5.002485296630262,0.048577718,82.98717328297234,76.68,,QPhaKiiGsg,b6e903a1-02b4-4c7c-85ba-1a6b4fa3e2d9,2026-08-19T14:55:07.891Z,81.196,2026-08-19T15:26:48.252Z,2026-08-19T15:26:48.252Z
archiduc,Scalp Company,ETH,short,19,1983.322999901192,2035.8,16.95484745034429,0.1338530445,2059.1578908311776,1902,2042,DBa1SD2Iel,6c972d3f-9095-4818-b0fd-061f8f819bbf,2026-08-19T15:16:58.058Z,2035.8,2026-08-19T15:27:07.427Z,2026-08-19T15:27:07.427Z
archiduc,Scalp Company,NEAR,short,9,1.62415,1.71,0.999999891396454,0.00662098,1.7187301587301589,1.6113,1.71,GKYYD6r7FR,9b3b7fe3-469e-4825-955c-706b4ebdfb5c,2026-08-19T17:17:27.278Z,1.71,2026-08-19T18:30:05.139Z,2026-08-19T18:30:05.139Z
archiduc,Scalp Company,ETH,short,19,2122.8,2180.6,0.9999999999999999,0.0051292199,2190.6088751289985,,,ZtnPjJPeho,4ee3b943-8e45-4e3b-8bcf-de5f44bef46e,2026-08-19T20:43:19.214Z,2180.6,2026-08-19T20:51:10.890Z,2026-08-19T20:51:10.890Z
